#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Thu Jan 13 17:29:40 EST 2022,0,0,GreetingCheckstyle, , ,GreetingCheckstyle+ ,A0MnemonicNames A0NoCheckstyleWarnings GreetingClassRegistryProvided GreetingMainProvided GreetingRun ,
1,Thu Jan 13 17:29:46 EST 2022,16,16,GreetingClassRegistryProvided,GreetingClassRegistryProvided+ , ,GreetingCheckstyle ,A0MnemonicNames A0NoCheckstyleWarnings GreetingMainProvided GreetingRun ,
2,Thu Jan 13 17:29:47 EST 2022,16,0,GreetingMainProvided,GreetingClassRegistryProvided , ,GreetingCheckstyle GreetingMainProvided+ ,A0MnemonicNames A0NoCheckstyleWarnings GreetingRun ,
3,Thu Jan 13 17:29:54 EST 2022,16,0,GreetingRun,GreetingClassRegistryProvided , ,GreetingCheckstyle GreetingMainProvided GreetingRun+ ,A0MnemonicNames A0NoCheckstyleWarnings ,
4,Thu Jan 13 17:29:57 EST 2022,16,0,A0Style,GreetingClassRegistryProvided , ,A0MnemonicNames+ A0NoCheckstyleWarnings+ GreetingCheckstyle GreetingMainProvided GreetingRun , ,
5,Thu Jan 13 17:30:06 EST 2022,16,0,A0MnemonicNames,GreetingClassRegistryProvided , ,A0MnemonicNames A0NoCheckstyleWarnings GreetingCheckstyle GreetingMainProvided GreetingRun , ,
6,Thu Jan 13 17:36:58 EST 2022,33,17,GreetingMainProvided,GreetingClassRegistryProvided GreetingMainProvided+ , ,A0MnemonicNames A0NoCheckstyleWarnings GreetingCheckstyle GreetingRun , ,
7,Thu Jan 13 17:37:20 EST 2022,33,0,GreetingRun,GreetingClassRegistryProvided GreetingMainProvided , ,A0MnemonicNames A0NoCheckstyleWarnings GreetingCheckstyle GreetingRun , ,
8,Thu Jan 13 17:41:09 EST 2022,33,0,GreetingCheckstyle,GreetingClassRegistryProvided GreetingMainProvided , ,A0MnemonicNames A0NoCheckstyleWarnings GreetingCheckstyle GreetingRun , ,
9,Thu Jan 13 17:41:11 EST 2022,33,0,A0Style,GreetingClassRegistryProvided GreetingMainProvided , ,A0MnemonicNames A0NoCheckstyleWarnings GreetingCheckstyle GreetingRun , ,
10,Thu Jan 13 17:41:12 EST 2022,33,0,A0MnemonicNames,GreetingClassRegistryProvided GreetingMainProvided , ,A0MnemonicNames A0NoCheckstyleWarnings GreetingCheckstyle GreetingRun , ,
11,Thu Jan 13 17:41:14 EST 2022,33,0,A0NoCheckstyleWarnings,GreetingClassRegistryProvided GreetingMainProvided , ,A0MnemonicNames A0NoCheckstyleWarnings GreetingCheckstyle GreetingRun , ,
12,Thu Jan 13 20:08:11 EST 2022,33,0,GreetingRun,GreetingClassRegistryProvided GreetingMainProvided , ,A0MnemonicNames A0NoCheckstyleWarnings GreetingCheckstyle GreetingRun , ,
13,Thu Jan 13 20:08:24 EST 2022,33,0,A0Style,GreetingClassRegistryProvided GreetingMainProvided , ,A0MnemonicNames A0NoCheckstyleWarnings GreetingCheckstyle GreetingRun , ,
14,Thu Jan 13 20:12:31 EST 2022,33,0,GreetingMainProvided,GreetingClassRegistryProvided GreetingMainProvided , ,A0MnemonicNames A0NoCheckstyleWarnings GreetingCheckstyle GreetingRun , ,
15,Thu Jan 13 20:12:34 EST 2022,33,0,GreetingRun,GreetingClassRegistryProvided GreetingMainProvided , ,A0MnemonicNames A0NoCheckstyleWarnings GreetingCheckstyle GreetingRun , ,
16,Thu Jan 13 20:12:36 EST 2022,33,0,GreetingCheckstyle,GreetingClassRegistryProvided GreetingMainProvided , ,A0MnemonicNames A0NoCheckstyleWarnings GreetingCheckstyle GreetingRun , ,
17,Thu Jan 13 20:12:38 EST 2022,33,0,A0Style,GreetingClassRegistryProvided GreetingMainProvided , ,A0MnemonicNames A0NoCheckstyleWarnings GreetingCheckstyle GreetingRun , ,
18,Thu Jan 13 20:12:46 EST 2022,33,0,GreetingRun,GreetingClassRegistryProvided GreetingMainProvided , ,A0MnemonicNames A0NoCheckstyleWarnings GreetingCheckstyle GreetingRun , ,
19,Thu Jan 13 20:18:08 EST 2022,33,0,GreetingMainProvided,GreetingClassRegistryProvided GreetingMainProvided , ,A0MnemonicNames A0NoCheckstyleWarnings GreetingCheckstyle GreetingRun , ,
20,Thu Jan 13 20:18:11 EST 2022,33,0,GreetingRun,GreetingClassRegistryProvided GreetingMainProvided , ,A0MnemonicNames A0NoCheckstyleWarnings GreetingCheckstyle GreetingRun , ,
21,Thu Jan 13 20:18:14 EST 2022,33,0,GreetingCheckstyle,GreetingClassRegistryProvided GreetingMainProvided , ,A0MnemonicNames A0NoCheckstyleWarnings GreetingCheckstyle GreetingRun , ,
22,Thu Jan 13 20:26:57 EST 2022,33,0,GreetingMainProvided,GreetingClassRegistryProvided GreetingMainProvided , ,A0MnemonicNames A0NoCheckstyleWarnings GreetingCheckstyle GreetingRun , ,
23,Thu Jan 13 20:27:00 EST 2022,33,0,GreetingRun,GreetingClassRegistryProvided GreetingMainProvided , ,A0MnemonicNames A0NoCheckstyleWarnings GreetingCheckstyle GreetingRun , ,
