Caller Type,Caller Type Words,Caller Tag,Caller Tag Words,Caller Method,Caller Method Words,Caller Super Types,Calling Super Types Words,Called  Type,Called Type Words,Called  Tagged Type,Called Tagged Type Words,Called Method,Called Method Words
comp533.client.RemoteClientObject,remote:client:object,@RemoteClientObjectClass,remote:client:object:class,reduce,reduce,@RemoteClientObjectClass+@RemoteClientObjectInterface:Remote,remote:client:object:class:remote:client:object:interface:remote,comp533.mvc.ReducerFactory,reducer:factory,@ReducerFactory,reducer:factory,getReducer,get:reducer
comp533.client.RemoteClientObject,remote:client:object,@RemoteClientObjectClass,remote:client:object:class,reduce,reduce,@RemoteClientObjectClass+@RemoteClientObjectInterface:Remote,remote:client:object:class:remote:client:object:interface:remote,comp533.mvc.ReducerInterface,reducer:interface,@ReducerClass,reducer:class,reduce,reduce
comp533.mvc.Controller,controller,@ControllerClass,controller:class,processInput,process:input,@RemoteClientObjectClass+@RemoteClientObjectInterface:Remote:AMapReduceTracer:@ControllerClass,remote:client:object:class:remote:client:object:interface:remote:a:map:reduce:tracer:controller:class,java.util.Scanner,scanner,java.util.Scanner,scanner,Scanner,scanner
comp533.mvc.Controller,controller,@ControllerClass,controller:class,processInput,process:input,@RemoteClientObjectClass+@RemoteClientObjectInterface:Remote:AMapReduceTracer:@ControllerClass,remote:client:object:class:remote:client:object:interface:remote:a:map:reduce:tracer:controller:class,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,traceThreadPrompt,trace:thread:prompt
comp533.mvc.Controller,controller,@ControllerClass,controller:class,processInput,process:input,@RemoteClientObjectClass+@RemoteClientObjectInterface:Remote:AMapReduceTracer:@ControllerClass,remote:client:object:class:remote:client:object:interface:remote:a:map:reduce:tracer:controller:class,java.util.Scanner,scanner,java.util.Scanner,scanner,nextLine,next:line
comp533.mvc.Controller,controller,@ControllerClass,controller:class,processInput,process:input,@RemoteClientObjectClass+@RemoteClientObjectInterface:Remote:AMapReduceTracer:@ControllerClass,remote:client:object:class:remote:client:object:interface:remote:a:map:reduce:tracer:controller:class,comp533.mvc.ModelInterface,model:interface,@ModelClass,model:class,setNumThreads,set:num:threads
comp533.mvc.Controller,controller,@ControllerClass,controller:class,processInput,process:input,@RemoteClientObjectClass+@RemoteClientObjectInterface:Remote:AMapReduceTracer:@ControllerClass,remote:client:object:class:remote:client:object:interface:remote:a:map:reduce:tracer:controller:class,Integer,integer,java.lang.Integer,integer,valueOf,value:of
comp533.mvc.Controller,controller,@ControllerClass,controller:class,processInput,process:input,@RemoteClientObjectClass+@RemoteClientObjectInterface:Remote:AMapReduceTracer:@ControllerClass,remote:client:object:class:remote:client:object:interface:remote:a:map:reduce:tracer:controller:class,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,traceNumbersPrompt,trace:numbers:prompt
comp533.mvc.Controller,controller,@ControllerClass,controller:class,processInput,process:input,@RemoteClientObjectClass+@RemoteClientObjectInterface:Remote:AMapReduceTracer:@ControllerClass,remote:client:object:class:remote:client:object:interface:remote:a:map:reduce:tracer:controller:class,java.util.Scanner,scanner,java.util.Scanner,scanner,nextLine,next:line
comp533.mvc.Controller,controller,@ControllerClass,controller:class,processInput,process:input,@RemoteClientObjectClass+@RemoteClientObjectInterface:Remote:AMapReduceTracer:@ControllerClass,remote:client:object:class:remote:client:object:interface:remote:a:map:reduce:tracer:controller:class,comp533.mvc.ModelInterface,model:interface,@ModelClass,model:class,setInputString,set:input:string
